code	description
PW	Pressurised wheelhouse (closed and not vented to the outside).
WH	Wheelhouse, not pressurised (vented to the outside).
OT	Other (specify in footnote).
Chart room	Chart room
MSNG	MSNG
Other	Other
Pressurised wheelhouse (closed and not vented to the outside)	Pressurised wheelhouse (closed and not vented to the outside)
Wheelhouse, not pressurised (vented to the outside)	Wheelhouse, not pressurised (vented to the outside)
