code	description
BTT	Bait tanks thermometer.
BU	Bucket thermometer.
C	Condensor Intake on Steam Ships, or Engine Cooling System Inlet on Motor Ships.
HC	Hull contact sensor.
HT	"Through Hull" sensor.
RAD	Radiation thermometer.
TT	Trailing thermistor.
OT	Other (specify in footnote).
BT	Bait tanks thermometer.
ELE	Electronic device
