code	description
A	Aspirated (Assmann type).
S	Screen (non ventilated, i.e. natural ventilation).
HH	Hand-held digital temperature/humidity sensor
VS	Screen (ventilated, i.e. assisted ventilation).
RS	Radiation Shield (e.g. cylindrical / Gill multi-plate radiation shield)
SN	Ship's screen (property of the ship).
SG	Ship's sling (property of the ship).
US	Unscreened.
W	Whirling or Sling psychrometer.
SL	Whirling or Sling psychrometer.
