code	description
BAT	Bathythermometer.
BT	Bathythermograph (towed).
FLM	Fluorometer.
LWR	Long wave radiation.
MAX	Maximum thermometer.
MIN	Minimum thermometer.
NTE	Nitrate sensor.
NTT	Nutrient sensor.
P	Pilot balloon equipment.
CO2	pCO2 system.
PLK	Plankton recorder.
PRS	Photosynthetic radiation sensor.
PYG	Pyrogeometer.
R	Radiosonde equipment.
RG	Rain gauge.
RSD	Radar storm and meteorological phenomena detection.
RT	Reversing thermometer.
SKY	Sky camera.
SLM	Solarimeter.
ST	Sea thermograph.
SWR	Short wave radiation.
TSD	Temperature/salinity/depth probe.
TUR	Turbidity sensor.
W	Radiowind or radarwind equipment.
WR	Wave Recorder
XBT	Expendable bathythermograph.
OT	Other (specify in footnote).
RAD	Gunn Bellani Radiometer
AV	Aerovane
A	Anemometer (normal pattern)
a	Anemometer (normal pattern)
HA	Handheld anemometer
SA	Ship's anemometer
AG	Anemograph
ELE	Electric (resistance) thermometer
C	Condenser intake
